Partlist

Exported from aleph.brd at 8/13/13 12:54 PM

EAGLE Version 6.4.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Package          Library               Position (inch)       Orientation

C149     4.7u               C1206/T          rc-master-smd         (1.525 1.5)           MR180
C150     100n               C0603            rc-master-smd         (2.2625 1.525)        MR90
C151     10n                C0603            rc-master-smd         (4 1.55)              MR180
C152     10n                C0603            rc-master-smd         (3.25 1.575)          MR0
C153     4.7u               C1206            rc-master-smd         (5.3 1.6125)          MR180
C154     100n               C0603            rc-master-smd         (4 1.625)             MR180
C155     100n               C0603            rc-master-smd         (3.25 1.65)           MR0
C156     10n                C0603            rc-master-smd         (6.125 1.675)         MR0
C157     100n               C0603            rc-master-smd         (4 1.7)               MR0
C158     100n               C0603            rc-master-smd         (2.6875 1.7)          MR270
C159     100n               C0603            rc-master-smd         (3.25 1.725)          MR0
C160     100n               C0603            rc-master-smd         (2.2625 1.725)        MR270
C161     2.2u               C1206            rc-master-smd         (4.8875 1.775)        MR90
C162     100n               C0603            rc-master-smd         (2.3875 1.8375)       MR180
C163     33n                C0603            rc-master-smd         (5.55 1.85)           MR0
C164     100n               C0603            rc-master-smd         (5.375 1.85)          MR90
C165     33n                C0603            rc-master-smd         (5.3 1.85)            MR90
C166     2.7n               C0603            rc-master-smd         (5.15 1.85)           MR90
C167     33n                C0603            rc-master-smd         (5.075 1.85)          MR90
C168     33n                C0603            rc-master-smd         (4.7 1.85)            MR0
C169     10u                C1206/T          rc-master-smd         (3.3 1.875)           MR0
C170     1n                 C0603            rc-master-smd         (1.55 1.9)            MR270
C171     100n               C0603            rc-master-smd         (0.625 1.9)           MR180
C172     100n               C0603            rc-master-smd         (5.55 1.925)          MR0
C173     100n               C0603            rc-master-smd         (4.7 1.925)           MR0
C174     100p               C0603            rc-master-smd         (1.625 1.975)         MR270
C175     330p               C0603            rc-master-smd         (0.8625 1.975)        MR180
C176     2200p              C0603            rc-master-smd         (0.7125 1.975)        MR0
C177     2200p              C0603            rc-master-smd         (0.5375 1.975)        MR180
C178     330p               C0603            rc-master-smd         (0.3875 1.975)        MR0
C179     33n                C0603            rc-master-smd         (5 2.025)             MR180
C180     1n                 C0603            rc-master-smd         (1.55 2.05)           MR270
C181     2.2u               C1206            rc-master-smd         (5.575 2.0875)        MR0
C182     2.7n               C0603            rc-master-smd         (5 2.1)               MR180
C183     100n               C0603            rc-master-smd         (3.875 2.1)           MR90
C184     10n                C0603            rc-master-smd         (3.8 2.1)             MR90
C185     10n                C0603            rc-master-smd         (3.65 2.1)            MR90
C186     100n               C0603            rc-master-smd         (3.575 2.1)           MR90
C187     100n               C0603            rc-master-smd         (3.425 2.1)           MR90
C188     100n               C0603            rc-master-smd         (5.55 2.175)          MR0
C189     33n                C0603            rc-master-smd         (5 2.175)             MR180
C190     4.7u               C1206/T          rc-master-smd         (1.525 2.2)           MR180
C191     33n                C0603            rc-master-smd         (5.55 2.25)           MR0
C192     2.7n               C0603            rc-master-smd         (5 2.25)              MR180
C193     10n                C0603            rc-master-smd         (3.15 2.3)            MR270
C194     2.7n               C0603            rc-master-smd         (5.55 2.325)          MR0
C195     10n                C0603            rc-master-smd         (6.2 2.35)            MR270
C196     470p               C0603            rc-master-smd         (5.375 2.4)           MR270
C197     33n                C0603            rc-master-smd         (5.3 2.4)             MR270
C198     100n               C0603            rc-master-smd         (5.225 2.4)           MR270
C199     2.7n               C0603            rc-master-smd         (5.075 2.4)           MR270
C200     33n                C0603            rc-master-smd         (5 2.4)               MR270
C201     100n               C1206            rc-master-smd         (4.1 2.45)            MR270
C202     10u                C1206/T          rc-master-smd         (3.975 2.45)          MR270
C203     4.7u               C1206            rc-master-smd         (5.25 2.55)           MR0
C204     100n               C0603            rc-master-smd         (5.575 2.575)         MR90
C205     33n                C0603            rc-master-smd         (5.5 2.575)           MR90
C206     2.2u               C1206            rc-master-smd         (5.40625 2.60625)     MR90
C207     33n                C0603            rc-master-smd         (4.9 2.675)           MR90
C208     100n               C0603            rc-master-smd         (4.825 2.675)         MR90
C209     330p               C0603            rc-master-smd         (1.825 2.6875)        MR270
C210     4.7u               C1206/T          rc-master-smd         (2.95 2.75)           MR0
C211     4.7u               C1206/T          rc-master-smd         (2.5 2.75)            MR0
C212     2200p              C0603            rc-master-smd         (1.825 2.8375)        MR90
C213     1n                 C0603            rc-master-smd         (2.925 2.9)           MR90
C214     1n                 C0603            rc-master-smd         (2.475 2.9)           MR90
C215     100n               C0603            rc-master-smd         (1.9 2.925)           MR90
C216     100p               C0603            rc-master-smd         (2.85 2.975)          MR90
C217     100p               C0603            rc-master-smd         (2.4 2.975)           MR90
C218     22u                C1206/T          rc-master-smd         (5.6 3)               MR0
C219     2200p              C0603            rc-master-smd         (1.825 3.0125)        MR270
C220     1n                 C0603            rc-master-smd         (2.925 3.05)          MR90
C221     1n                 C0603            rc-master-smd         (2.475 3.05)          MR90
C222     470n               C1206            rc-master-smd         (5.6 3.125)           MR0
C223     100n               C0603            rc-master-smd         (4.725 3.125)         MR0
C224     330p               C0603            rc-master-smd         (1.825 3.1625)        MR90
C225     10u                C1206/T          rc-master-smd         (4.725 3.225)         MR0
C226     100n               C0603            rc-master-smd         (4.875 3.35)          MR180
C227     10u                C1206/T          rc-master-smd         (5.225 3.4625)        MR0
C228     220p               C0603            rc-master-smd         (6.7 3.875)           MR0
D1       MBR0520L           SOD123           diode                 (6.7 3.425)           R0
D2       zhcs1000           SOT23            diode                 (3.825 2.625)         R180
D3       1N4148W-7          SOD123           diode                 (11.6 2.6)            R90
D4       1N4148W-7          SOD123           diode                 (12.1 2.6)            R90
D5       1N4148W-7          SOD123           diode                 (12.6 2.6)            R90
